"File","Size Before (KB)","Size After (KB)","Reduction (KB)","Reduction (%)"
"/dist/34aee63bdbd3438894a5e479e0fd7b25.txt","0,03","0,03","0","0"
"/dist/404.html","8,18","8,18","0","0"
"/dist/about.html","11,8","11,8","0","0"
"/dist/ads.txt","0,06","0,06","0","0"
"/dist/archive.html","17,86","17,86","0","0"
"/dist/blog.html","26,74","26,74","0","0"
"/dist/feed.xml","292,09","292,09","0","0"
"/dist/index.html","10,44","10,44","0","0"
"/dist/output.css","34,44","34,44","0","0"
"/dist/privacy.html","10,05","10,05","0","0"
"/dist/robots.txt","0,04","0,04","0","0"
"/dist/sitemap_index.xml","0,24","0,24","0","0"
"/dist/sitemap.xml","2,94","2,94","0","0"
"/dist/staticwebapp.config.json","3,93","3,93","0","0"
"/dist/suggestions.js","2,04","2,04","0","0"
"/dist/2022/02/21/working-with-azure-sdk-for-dotnet.html","39,57","39,57","0","0"
"/dist/2022/09/17/how-to-use-azurite-for-testing-azure-storage-in-dotnet.html","31,03","31,03","0","0"
"/dist/2022/01/31/improve-code-quality-with-bannedsymbolanalyzers.html","28,33","28,33","0","0"
"/dist/2022/06/07/share-debug-configuration-with-launch-profiles.html","43,16","43,16","0","0"
"/dist/2024/02/09/long-live-reqnroll.html","19,72","19,72","0","0"
"/dist/2024/08/06/fix-vscode-markdown-preview.html","20,93","20,93","0","0"
"/dist/2023/04/14/csharp-client-for-openapi-revisited.html","35,72","35,72","0","0"
"/dist/2019/09/07/using-csharp-code-your-git-hooks.html","32,59","32,59","0","0"
"/dist/2021/03/27/set-nuget-metadata-via-msbuild.html","46,79","46,79","0","0"
"/dist/2021/04/11/an-approach-to-writing-mocks.html","57,24","57,24","0","0"
"/dist/2021/05/23/generate-csharp-client-for-openapi.html","44,3","44,3","0","0"
"/dist/2021/11/29/validated-strongly-typed-ioptions.html","52,44","52,44","0","0"
"/dist/2021/11/14/capture-logs-in-unit-tests.html","38,51","38,51","0","0"
"/dist/2021/07/17/decreasing-solution-build-time-with-filters.html","33,39","33,39","0","0"
"/dist/2020/08/01/kaylumah-the-new-home-for-blogs-written-by-max-hamulyak.html","18,05","18,05","0","0"
"/dist/assets/404.png","5,1","4,48","0,62","12,16"
"/dist/assets/avatar_background.svg","117,61","117,61","0","0"
"/dist/assets/avatar_small.svg","25,17","25,17","0","0"
"/dist/assets/avatar.png","77,58","77,58","0","0"
"/dist/assets/avatar.svg","25,26","25,26","0","0"
"/dist/assets/logo_alt.svg","2,09","2,09","0","0"
"/dist/assets/logo_small.svg","3,81","3,81","0","0"
"/dist/assets/logo.svg","10,54","10,54","0","0"
"/dist/assets/images/android-chrome-192x192.png","4,26","4,12","0,14","3,29"
"/dist/assets/images/android-chrome-512x512.png","11,18","10,95","0,23","2,06"
"/dist/assets/images/apple-touch-icon.png","3,9","3,84","0,06","1,54"
"/dist/assets/images/favicon-16x16.png","0,32","0,29","0,03","9,38"
"/dist/assets/images/favicon-32x32.png","0,59","0,58","0,01","1,69"
"/dist/assets/images/favicon.ico","14,73","14,73","0","0"
"/dist/assets/images/safari-pinned-tab.svg","7,75","7,75","0","0"
"/dist/assets/images/site.webmanifest","0,47","0,47","0","0"
"/dist/assets/images/social_preview.png","10,74","10,74","0","0"
"/dist/assets/images/social_preview.png.webp","17,86","17,86","0","0"
"/dist/assets/images/posts/20220221/working-with-azure-sdk-for-dotnet/cover_image.png","12,98","12,99","-0,01","-0,08"
"/dist/assets/images/posts/20220221/working-with-azure-sdk-for-dotnet/cover_image.png.webp","16,41","16,41","0","0"
"/dist/assets/images/posts/20230414/openapi/01_add_service_reference.png","42,45","34,93","7,52","17,71"
"/dist/assets/images/posts/20230414/openapi/01_add_service_reference.png.webp","41,65","41,65","0","0"
"/dist/assets/images/posts/20230414/openapi/02_select_service_type.png","36,57","31,7","4,87","13,32"
"/dist/assets/images/posts/20230414/openapi/02_select_service_type.png.webp","34,63","34,63","0","0"
"/dist/assets/images/posts/20230414/openapi/03_add_openapi.png","35,33","35,33","0","0"
"/dist/assets/images/posts/20230414/openapi/03_add_openapi.png.webp","35,27","35,27","0","0"
"/dist/assets/images/posts/20230414/openapi/cover_image.png","44,73","42,23","2,5","5,59"
"/dist/assets/images/posts/20230414/openapi/cover_image.png.webp","52,05","52,05","0","0"
"/dist/assets/images/posts/20190907/githooks/cover_alt.png","25,72","27,92","-2,2","-8,55"
"/dist/assets/images/posts/20190907/githooks/cover_alt.png.webp","13,9","13,9","0","0"
"/dist/assets/images/posts/20190907/githooks/cover_image.png","25,61","25,49","0,12","0,47"
"/dist/assets/images/posts/20190907/githooks/cover_image.png.webp","32,14","32,14","0","0"
"/dist/assets/images/posts/drafts/nswag/ToolchainDiagram.png","10,41","10,25","0,16","1,54"
"/dist/assets/images/posts/drafts/nswag/ToolchainDiagram.png.webp","17,41","17,41","0","0"
"/dist/assets/images/posts/20211129/validated-strongly-typed-ioptions/001_configuration_sources.svg","113,72","113,72","0","0"
"/dist/assets/images/posts/20211129/validated-strongly-typed-ioptions/002_configuration_dotnet.svg","113,33","113,33","0","0"
"/dist/assets/images/posts/20211129/validated-strongly-typed-ioptions/003_ioptions.svg","99,36","99,36","0","0"
"/dist/assets/images/posts/20211129/validated-strongly-typed-ioptions/cover_image.png","14","14,14","-0,14","-1"
"/dist/assets/images/posts/20211129/validated-strongly-typed-ioptions/cover_image.png.webp","18,02","18,02","0","0"
"/dist/assets/images/posts/20210411/approach-to-writing-mocks/architecture.png","2,71","2,68","0,03","1,11"
"/dist/assets/images/posts/20210411/approach-to-writing-mocks/architecture.png.webp","6,21","6,21","0","0"
"/dist/assets/images/posts/20210411/approach-to-writing-mocks/cover_image.png","18,74","17,93","0,81","4,32"
"/dist/assets/images/posts/20210411/approach-to-writing-mocks/cover_image.png.webp","21,93","21,93","0","0"
"/dist/assets/images/posts/20210411/approach-to-writing-mocks/sequence.png","5,01","4,91","0,1","2"
"/dist/assets/images/posts/20210411/approach-to-writing-mocks/sequence.png.webp","15,19","15,19","0","0"
"/dist/assets/images/posts/20220131/improve-code-quality-with-bannedsymbolanalyzers/cover_image.png","30,65","30,09","0,56","1,83"
"/dist/assets/images/posts/20220131/improve-code-quality-with-bannedsymbolanalyzers/cover_image.png.webp","32,8","32,8","0","0"
"/dist/assets/images/posts/20220917/azurite/cover_image.png","15,84","15,83","0,01","0,06"
"/dist/assets/images/posts/20220917/azurite/cover_image.png.webp","20,37","20,37","0","0"
"/dist/assets/images/posts/20240806/markdown-preview/001_RootPreview.png","109,19","107,77","1,42","1,3"
"/dist/assets/images/posts/20240806/markdown-preview/001_RootPreview.png.webp","82,36","82,36","0","0"
"/dist/assets/images/posts/20240806/markdown-preview/002_FolderPreview.png","101,05","103,82","-2,77","-2,74"
"/dist/assets/images/posts/20240806/markdown-preview/002_FolderPreview.png.webp","69,85","69,85","0","0"
